type,feature_label,feature_title,value_km_3,range_low,range_high,feature_class,units,image_file,image_credit,definition,data_source,image_source,alt_text
pool,Rivers,Rivers,1900,1250,2120,rivers,cubic kilometers,river.png,Water Resources - Multimedia | U.S. Geological Survey (usgs.gov),"A natural body of water that flows from higher to lower elevations as a result of gravity. Also called streams, or creeks, depending on their size, rivers typically flow into lakes or to the ocean but sometimes end due to evaporation, loss of streamflow to groundwater, or due to human intervention.",https://www.nature.com/articles/s41561-019-0374-y,https://www.usgs.gov/media/images/san-miguel-river-colorado-fall-2020,"The San Miguel River flowing through Colorado as river rocks, fall foliage, and stands of ponderosa pine cover the landscape."
pool,Snowpack,Snowpack,2900,2600,3500,snowpack,cubic kilometers,snowpack.png,"Forest Service Alaska Region, USDA | Aleph-Skookum-Snow pit",Snow that accumulates seasonally at high elevations or near the poles.,https://www.nature.com/articles/s41561-019-0374-y,https://www.flickr.com/photos/alaska_region/33309715270/in/photolist-SKsZRG-qkuXUB-5JBTKo-qvUXhD-qyg6Q2-dKsndW-hy4wnd-TfFPXG-5JTH2M-5UnPYm-5JXBtS-4AtCcq-24wZaNi-5Uo3NS-TkpN6z-2m3uyu4-2cHX2aH-qVNiVA-2a6qzsZ-5UiH5H-5UikBg-5Jymtv-2jVSd7M-2hYTPii-QFoe4h-CwZCgS-e6Ei2r-Bb7A8N-zWxkbQ-5UiDL2-5UiFU8-5M3vFw-28aV5bR-5UnYC7-28aVgVx-5Uir9p-yoYGzX-5UiCBi-7CdR9y-5UitfZ-2kjcdCF-5UiEqV-5Uiw6K-5Uiyq8-Bj8JDR-5Uiwqe-2k4ZwsT-5UixYa-AQpbMq-2k5TCGr,"Dense, white snowpack surrounds the scientist standing in the Alaskan Alephen Skookum snow pit as steep mountain ridges display in the background."
pool,Atmospheric moisture - over land,Atmospheric moisture - over land,3000,2700,3300,atmospheric_moisture_over_land,cubic kilometers,atmosphericMoistureLand.png,davidkiene | flickr.com,Water that is present as water vapor (water in gaseous form) in the atmosphere above land masses. Water vapor in the atmosphere is invisible to the human eye.,https://www.nature.com/articles/s41561-019-0374-y,https://www.flickr.com/photos/davidkiene/2356730420/in/photolist-4AfRR7-B9TCPF-52UNwL-QVjJLX-hLzMeJ-DvpwMn-YgnYQW-28u3Jqy-j6JoKe-aKwNKH-JruFoK-2dZsK58-bQhPce-UwWDcn-CxJDAS-p9XsJF-2e5R17Z-6JpCAE-9KSK5M-o7oTpo-ZqbLnx-2cJqW7X-bKKKzX-Hn9Tzk-Y2nb2R-aDfXEM-amTofr-GHVUNe-nUVJwi-cbvKwS-C8Riv-F8X391-4nkVk5-28nTefp-JazL3T-qRBmCs-N3CneP-MuAwBc-JV6DgD-j4G56j-6JEecR-J81sPv-dbCQVk-bKhW7i-2dJbpQN-2d8Cexb-abVg3q-nwyPke-fb5r13-86pfN1,A hilly forest at sunset with a thick layer of atmospheric moisture settled as a thick layer of fog at lower elevations and tree tops peering out up slope.
pool,Atmospheric moisture - over ocean,Atmospheric moisture - over ocean,10000,8000,12000,atmospheric_moisture_over_ocean,cubic kilometers,atmosphericMoistureOcean.png,NASA Goddard Space Flight Center,Water that is present as water vapor (water in gaseous form) in the atmosphere above oceans. Water vapor in the atmosphere is invisible to the human eye.,https://www.nature.com/articles/s41561-019-0374-y,https://www.flickr.com/photos/24662369@N07/9009302654,"Satellite imagery displays cloud formation and atmospheric moisture over the Pacific Ocean near coastal California and Baja, Mexico."
pool,Reservoirs,Reservoirs,10800,7000,15000,reservoirs,cubic kilometers,reservoir.png,Multimedia | U.S. Geological Survey (usgs.gov),"A reservoir is a human-made lake. Reservoirs form when a dam is built on a river, allowing water to pool behind the dam.",https://www.nature.com/articles/s41561-019-0374-y,https://www.usgs.gov/media/images/view-dos-bocas-reservoir-utuado-puerto-rico,Concrete walls hold back upstream water at the Dos Boscas reservoir in Puerto Rico as dense tropical forests cover the surrounding mountainous landscape.
pool,Wetlands,Wetlands,14100,11000,17000,wetlands,cubic kilometers,wetlands.png,"Herring River Estuary, Cape Cod, MA | U.S. Geological Survey (usgs.gov)","Wetlands are areas where the soil is saturated or flooded year-round or during the growing season. Wetlands support the growth of aquatic (water) and terrestrial (land) plants that are adapted to grow in soils with low oxygen. They include mangroves, marshes (salt, brackish, intermediate, and fresh), swamps, forested wetlands, bogs, wet prairies, prairie potholes, and vernal pools.",https://www.nature.com/articles/s41561-019-0374-y,https://www.usgs.gov/media/images/herring-river-estuary-cape-cod-ma-0,"Grasses and wetland shrubs make up the tidally restricted, still and shallow water of the wetland in the Herring River Estuary in Cape Cod, Massachusetts."
pool,Soil moisture,Soil moisture,54100,16500,122000,soil_moisture,cubic kilometers,soilMoisture.png,International Institute of Tropical Agriculture - https://www.flickr.com/photos/iita-media-library/7637264088,"Water that is present within soil. The amount of water stored within the soil varies based on precipitation, temperature, and soil type.",https://www.nature.com/articles/s41561-019-0374-y,https://www.flickr.com/photos/iita-media-library/7637264088,A researcher evaluating moisture content with soil moisture meters in cassava agronomy trials in Mozambique.
pool,Lakes - saline,Lakes - saline,94700,85400,104000,lakes_saline,cubic kilometers,salineLakes.png,Bernadette Simpson - https://commons.wikimedia.org/wiki/File:Saline_Lake_at_Ras_Mohamed_National_Park.jpg,"A lake that contains saline water due to the accumulation of salts as water is lost via evaporation. Most saline lakes exist in closed basins and do not have any outlet, meaning they do not release outflow into a river.",https://www.nature.com/articles/s41561-019-0374-y,https://commons.wikimedia.org/wiki/File:Saline_Lake_at_Ras_Mohamed_National_Park.jpg,"A film of water covers the pink hued saline lake surrounded by white, textured dissolved salt at Ras Mohamed National Park in Egypt."
pool,Lakes - fresh,Lakes - fresh,108000,91000,125000,lakes_fresh,cubic kilometers,freshLakes.png,Water Lake Nature - Free photo on Pixabay,"A lake is formed when water accumulates in a low spot on the landscape as a result of surface-water runoff and groundwater seepage. If the water in the lake is fresh, it is a freshwater lake.",https://www.nature.com/articles/s41561-019-0374-y,https://pixabay.com/es/photos/agua-lago-naturaleza-paisaje-5151270/,"Swift, white clouds and surrounding trees are reflected in the still water of a lake"
pool,Permafrost,Permafrost,207000,22000,300000,permafrost,cubic kilometers,permafrost.png,National Snow and Ice Data Center | Permafrost landscape,A subsurface layer of soil that contains water and is frozen year-round. Permafrost primarily occurs near the poles of the Earth.,https://www.nature.com/articles/s41561-019-0374-y,https://www.flickr.com/photos/nsidc/51844880559/in/photolist-2mZmyK2-LJAShs-amBrA6-JhYLjj-dRifBo-Ki6fX3-54coyN-qN3m6V-YdWQqe-2mA7HAi-aQaBie-RNoCeE-6LYmCT-2mA2ift-2hFGstb-MEedKa-2mAa1hw-W75wep-2mA2jZf-2mZoHjJ-2gVtxUb-2mA2A7K-KEgywr-JHJHay-fJ8E6r-n4CLKN-a53r89-9FS2N3-f4iEkM-9Ypw8F-8M6eD2-8L9NQ6-dn6K1e-nG8P2d-G97BPJ-2mZoLYY-8UEZ4p-Mcjzmh-6Mnfoa-as1Ffg-adAxKc-2mZmRD7-2mAbemw-2mAbdVS-MEdRpV-amBs3K-aCe6w9-2kSscnH-a3Mpq7-8qHNrU,"Researcher displays exposed, white permafrost ice layer hidden under thick and densely packed soils near Toolik Lake in Alaska."
