type,feature_label,value_km_3,range_low,range_high,feature_class,units,image_file,image_credit,definition,notes
pool,Rivers,1900,1250,2120,rivers,cubic kilometers,river.png,Water Resources - Multimedia | U.S. Geological Survey (usgs.gov),A natural body of water that flows from higher to lower elevations as a result of gravity. Rivers typically flow into lakes or to the ocean but sometimes end due to evaporation or through loss of streamflow to groundwater.,NA
pool,Snowpack,2900,2600,3500,atmospheric_moisture_over_land,cubic kilometers,snowpack.png,"Forest Service Alaska Region, USDA | Aleph-Skookum-Snowpit",Snow that accumulates seasonally at high latitudes or elevations.,https://www.flickr.com/photos/alaska_region/33309715270/in/photolist-SKsZRG-qkuXUB-5JBTKo-qvUXhD-qyg6Q2-dKsndW-hy4wnd-TfFPXG-5JTH2M-5UnPYm-5JXBtS-4AtCcq-24wZaNi-5Uo3NS-TkpN6z-2m3uyu4-2cHX2aH-qVNiVA-2a6qzsZ-5UiH5H-5UikBg-5Jymtv-2jVSd7M-2hYTPii-QFoe4h-CwZCgS-e6Ei2r-Bb7A8N-zWxkbQ-5UiDL2-5UiFU8-5M3vFw-28aV5bR-5UnYC7-28aVgVx-5Uir9p-yoYGzX-5UiCBi-7CdR9y-5UitfZ-2kjcdCF-5UiEqV-5Uiw6K-5Uiyq8-Bj8JDR-5Uiwqe-2k4ZwsT-5UixYa-AQpbMq-2k5TCGr
pool,Atmospheric moisture - over land,3000,2700,3300,atmospheric_moisture_over_ocean,cubic kilometers,atmosphericMoistureLand.png,davidkiene | flickr.com,Water that is present as water vapor (water in gaseous form) in the atmosphere above land masses. Water vapor in the atmosphere is invisible to the human eye.,https://www.flickr.com/photos/davidkiene/2356730420/in/photolist-4AfRR7-B9TCPF-52UNwL-QVjJLX-hLzMeJ-DvpwMn-YgnYQW-28u3Jqy-j6JoKe-aKwNKH-JruFoK-2dZsK58-bQhPce-UwWDcn-CxJDAS-p9XsJF-2e5R17Z-6JpCAE-9KSK5M-o7oTpo-ZqbLnx-2cJqW7X-bKKKzX-Hn9Tzk-Y2nb2R-aDfXEM-amTofr-GHVUNe-nUVJwi-cbvKwS-C8Riv-F8X391-4nkVk5-28nTefp-JazL3T-qRBmCs-N3CneP-MuAwBc-JV6DgD-j4G56j-6JEecR-J81sPv-dbCQVk-bKhW7i-2dJbpQN-2d8Cexb-abVg3q-nwyPke-fb5r13-86pfN1
pool,Atmospheric moisture - over ocean,10000,8000,12000,reservoirs,cubic kilometers,atmosphericMoistureOcean.png,"NASA Goddard Space Flight Center",Water that is present as water vapor (water in gaseous form) in the atmosphere above oceans. Water vapor in the atmosphere is invisible to the human eye.,https://www.flickr.com/photos/24662369@N07/9009302654
pool,Reservoirs,10800,7000,15000,wetlands,cubic kilometers,reservoirs.png,Eva Triznova | flickr.com,"A reservoir is a human-made lake. Reservoirs form when a dam is built on a river, allowing water to pool behind the dam.",https://www.flickr.com/photos/130783166@N07/46877961804/in/photolist-2eqrNQL-NtyLcK-cyU8qW-CBeNM6-FAZXoh-nFbBCq-CYrv2B-BCpvhE-9MAbzh-DBzaeW-w8ik6t-25aozwk-CyyoYY-Q54Yvc-5aoxHC-hbVMi7-KakrE3-DwYkk2-EAS3Ya-HkyUmk-txTqzv-vLTAj4-KStCd5-nYjbJP-oCk9WZ-aZk6tK-y5jzi-29Uu7wH-prEyLo-AkJLHZ-GbJe22-zEJPTc-2a7grLj-8ipeX7-kSjQjF-rHgAxE-cPjMtY-rj3weF-8Ub4SL-xKJ4yg-bEDSfu-ri3VuS-5ZoXNX-22cPXiU-hVrfp-x2g6w6-afZCQZ-f8Jiyy-DLqj6h-AMpiED
pool,Wetlands,14100,11000,17000,soil_moisture,cubic kilometers,wetlands.png,"Herring River Estuary, Cape Cod, MA | U.S. Geological Survey (usgs.gov)","Wetlands are areas where the soil is saturated or flooded year-round or during the growing season. Wetlands support the growth of aquatic (water) and terrestrial (land) plants that are adapted to grow in soils with low oxygen.  They include mangroves, marshes (salt, brackish, intermediate, and fresh), swamps, forested wetlands, bogs, wet prairies, prairie potholes, and vernal pools.",NA
pool,Soil moisture,54100,16500,122000,lakes_saline,cubic kilometers,soilMoisture.png,International Institute of Tropical Agriculture - https://www.flickr.com/photos/iita-media-library/7637264088,"Water that is present within soil. The amount of water stored within the soil varies based on precipitation, temperature, and the type of soil.",NA
pool,Lakes - saline,94700,85400,104000,lakes_fresh,cubic kilometers,salineLakes.png,Bernadette Simpson - https://commons.wikimedia.org/wiki/File:Saline_Lake_at_Ras_Mohamed_National_Park.jpg,"A lake that contains saline water due to the accumulation of salts as water is lost via evaporation. Most saline lakes exist in closed basins and do not have any outlet, meaning they do not release any water.",NA
pool,Lakes - fresh,108000,91000,125000,permafrost,cubic kilometers,freshLakes.png,Water Lake Nature - Free photo on Pixabay,"Fresh water accumulates in a low spot on the landscape as a result of surface-water runoff and groundwater seepage, resulting in a lake.",NA
pool,Permafrost,207000,22000,300000,groundwater,cubic kilometers,permafrost.png,National Snow and Ice Data Center | Permafrost landscape,A subsurface layer of soil that contains water and is frozen year-round. Permafrost occurs mostly at high latitudes.,https://www.flickr.com/photos/nsidc/51844880559/in/photolist-2mZmyK2-LJAShs-amBrA6-JhYLjj-dRifBo-Ki6fX3-54coyN-qN3m6V-YdWQqe-2mA7HAi-aQaBie-RNoCeE-6LYmCT-2mA2ift-2hFGstb-MEedKa-2mAa1hw-W75wep-2mA2jZf-2mZoHjJ-2gVtxUb-2mA2A7K-KEgywr-JHJHay-fJ8E6r-n4CLKN-a53r89-9FS2N3-f4iEkM-9Ypw8F-8M6eD2-8L9NQ6-dn6K1e-nG8P2d-G97BPJ-2mZoLYY-8UEZ4p-Mcjzmh-6Mnfoa-as1Ffg-adAxKc-2mZmRD7-2mAbemw-2mAbdVS-MEdRpV-amBs3K-aCe6w9-2kSscnH-a3Mpq7-8qHNrU
pool,Groundwater,22630000,8060000,23400000,ice_sheets_and_glaciers,cubic kilometers,groundwater.png,"Erin Murray | Idaho Water Science Center, USGS",Liquid water stored within cracks and pores in the rock beneath the surface of Earth.,https://www.usgs.gov/media/images/usgs-hydrologist-measuring-groundwater-level-a-well
pool,Ice sheets and glaciers,25800000,24064000,29200000,ocean_mixed_zone,cubic kilometers,glacier.png,File:Grinnell Glacier from summit of Mt Gould 2015 7648 crop.jpg - Wikimedia Commons,"At high elevations or latitudes where snowpack persists year-round, the weight of the accumulated snow compresses it into ice. When the ice forms in a steep alpine environment, it slowly flows downhill, forming a glacier. Ice sheets are glaciers that have spread outward to cover an area larger than 50,000 square kilometers.",NA
pool,Ocean - mixed zone,134000000,90000000,170000000,ocean_deep_water_zone,cubic kilometers,NA,NA,The upper portion of the ocean that is mixed by wind or by changes in salinity that result from evaporation or ice formation.,NA
pool,Ocean - deep water zone,1206000000,1100000000,1300000000,streamflow_to_closed_basins,cubic kilometers,deepOcean.png,"NASA Images",The lower portion of the ocean that is not mixed where very little light reaches.,https://nasasearch.nasa.gov/search/images?affiliate=nasa&query=deep+sea
flux,Streamflow to closed basins,800,600,1100,snowmelt,cubic kilometers per year,NA,NA,"Closed basins are basins where water flows into, but not out of the basin. Streamflow to closed basins does not flow to the ocean. Instead, streamflow ends in terminal lakes, in wetlands, is loss to groundwater, or evaporates. The water continues to move through the water cycle by evaporation or via groundwater recharge. Lakes in closed basins may be saline due to the accumulation of transported salts when water evaporates.",NA
flux,Groundwater discharge to ocean,4500,100,6500,groundwater_discharge_to_ocean,cubic kilometers per year,NA,NA,The flow of fresh or saline water from groundwater aquifers to the ocean in coastal areas. Where land and ocean meet there is a mixing of fresh and saline water called the transition zone.,NA
flux,Groundwater recharge,13000,12000,25000,groundwater_recharge,cubic kilometers per year,NA,NA,The process by which water is added to groundwater aquifers. Groundwater recharge occurs when water stored on or moving across the land surface infiltrates into the soil and then percolates through the soil to the saturated zone.,NA
flux,Human water use,24400,21000,25000,human_water_use,cubic kilometers per year,NA,NA,"We use water from rivers, lakes, reservoirs and groundater aquifers. We use that water to supply our homes and communities. We use it for agricultural irrigation and grazing livestock. We use it in industrial activities like thermoelectric power generate, mining, and aquaculture.",NA
flux,Streamflow to ocean,36000,36000,56000,streamflow_to_ocean,cubic kilometers per year,NA,NA,The movement of fresh water from rivers into oceans.,NA
flux,Transport of moisture from ocean to land,46000,35000,50000,transport_of_moisture_from_ocean_to_land,cubic kilometers per year,NA,NA,"As air masses over the ocean move over the land, the water vapor stored within those air masses becomes atmospheric moisture over land.",NA
flux,Evapotranspiration,68900,62000,75000,evapotranspiration,cubic kilometers per year,evapotranspiration.png,Center for International Forestry Research | Amazon Rainforest,The sum of all processes by which liquid water is converted to water vapor and is released to the atmosphere. This includes evaporation from water bodies and the land surface as well as transpiration by plants.,https://www.nasa.gov/feature/new-study-shows-the-amazon-makes-its-own-rainy-season
flux,Precipitation over land,111000,99000,120000,precipitation_over_land,cubic kilometers per year,landPrecipitation.png,100+ kostenlose Regen-Duschen und Regen-Bilder (pixabay.com),"Water released from clouds in the form of rain, freezing rain, sleet, snow, or hail that falls over the land surface.",NA
flux,Precipitation over ocean,380500,320000,460000,precipitation_over_ocean,cubic kilometers per year,oceanPrecipitation.png,Water Waves Horizon - Pixabay free pictures,"Water released from clouds in the form of rain, freezing rain, sleet, snow, or hail that falls over the ocean.",NA
flux,Ocean evaporation,420500,350000,510000,ocean_evaporation,cubic kilometers per year,oceanEvaporation.png,niKo SnOOze | flickr.com,The conversion of ocean water to water vapor at the interface between the ocean surface and the atmosphere.,https://www.flickr.com/photos/le_k/26640707858/in/photolist-GA9Aih-NYbFfc-LfCNDG-pzm74Z-Cs1Ltd-Jh2bab-27QPBGc-2eGNq2Z-28uzkfF-ZiuW2p-2bemoTi-af1eBU-2dYaXQi-28Uoz6L-CZJGwf-7svMub-pqu1WY-Nwx3Pe-GcnwJV-tQpubj-2acCw7d-fLj2H7-kuQUeB-2ekUoPx-bTaFuF-ktfXjj-coRzNu-u1jL3D-22kJKwS-21vAvTf-pZ3ZKG-NPeVyL-AH1HBR-ySLw6v-9kmYGP-ku68a6-EyXSb9-cGMMaq-7sxFVQ-26HWK4j-puMHtd-jyvM7x-22v6P5u-EjaCxP-HGRnoy-2bemoyk-mzZ8gA-ZYFACE-neAc7Y-dxVZQt
flux,Ocean circulation,7100000,6100000,9100000,ocean_circulation,cubic kilometers per year,oceanCirculation.png,"NASA Goddard Space Flight Center | Dynamic Earth - Ocean Currents",The movement of water horizontally between ocean basins and vertically between mixed and deep zones.,https://www.flickr.com/photos/24662369@N07/7402445224
example,Great Salt Lake,18.9,NA,NA,great_salt_lake,cubic kilometers,greatSaltLake.png,"Hannah E. McIlwain | Utah Water Science Center, USGS",NA,https://www.usgs.gov/media/images/great-salt-lake-may-reach-historic-low-soon
example,Dead Sea,147,NA,NA,dead_sea,cubic kilometers,deadSea.png,https://www.usgs.gov/media/images/kafrein-reservoir-captures-runoff-near-dead-sea-jordan,NA,NA
example,Lake Winnepeg,284,NA,NA,lake_winnepeg,cubic kilometers,lakeWinnepeg.png,"Jacques Descloitres, MODIS Rapid Response Team, NASA/GSFC",NA,https://visibleearth.nasa.gov/images/72159/lake-winnipeg-manitoba-canada
example,Lake Erie,480,NA,NA,lake_erie,cubic kilometers,lakeErie.png,The Great Lakes: Lake Erie | EPA.gov,NA,https://www.epa.gov/greatlakes/lake-erie
example,Lake Titicaca,893,NA,NA,lake_titicaca,cubic kilometers,lakeTiticaca.png,Do Lago Titicaca BolÃ­via Montanha - Foto gratuita no Pixabay,NA,NA
example,Lake Victoria,2700,NA,NA,lake_victoria,cubic kilometers,lakeVictoria.png,thomas reissnecker | flickr.com,NA,https://www.flickr.com/photos/thomasreissnecker/42318884800/in/photolist-27tzm5Q-2ntGQU7-2h6kz3B-LA74-RyLPiC-SPpzgm-2ToBot-6NfKh1-2hHyvBG-b3D9YZ-RPHbAg-E5stKa-2ih7Yn8-2ighogC-2gDvE3q-KGonki-2kQftTj-7zCWYd-2iu1BvD-K4Hija-2iu1Au5-CvDuky-yimnzd-2bYdmr1-CATHpA-eMWFdy-S65LCa-QoKeP4-FF5Uq1-Sqwqgo-rY95t-U5b8jG-2j2TzWh-pjL3nc-2j844ht-29MTVXd-2n6uaDd-2kJXELF-DSoDU-r8V2MK-ijpEam-2ii5AoL-bnY7BE-rkbmE7-2kLj8mv-2m8rmzR-EdVMGM-2itWPph-rdVup3-sx8TwE
example,Grand Canyon,4166.8,NA,NA,grand_canyon,cubic kilometers,grandCanyon.png,"Annie Scott | Office of Science Quality and Integrity, USGS",NA,https://www.usgs.gov/media/images/grand-canyon-south-rim-near-powell-point
example,Lake Vostok,5400,NA,NA,lake_vostok,cubic kilometers,lakeVostok.png,"NASA Earth Data | ""Fathoming Antarctica""",NA,https://www.earthdata.nasa.gov/learn/articles/fathoming-antarctica
example,Lake Superior,11600,NA,NA,lake_superior,cubic kilometers,lakeSuperior.png,File:Gfp-michigan-upper-peninsula-shoreline-of-lake-superior.jpg - Wikimedia Commons,NA,NA
example,Lake Baikal,23600,NA,NA,lake_baikal,cubic kilometers,lakeBaikal.png,Tanya Wgndt | flickr.com,NA,https://www.flickr.com/photos/158557413@N06/42767974262/in/photolist-28ag3JA-2mfJn1c-WRoPqA-KNzFYy-3qMEqH-NUrnxd-WRoWod-2i29F3Q-23RmGiq-2meJB9L-XUL9JV-2n1FwNu-XULaia-24qPZwb-fA2r94-Y86YbT-22Sn6dq-4St1U4-28T1nJv-2mhnaye-2mMtcxn-2ibFNNc-26o8qye-WRoXtE-3rqKgN-23VWBu3-NgbtQ-XS2DBd-Y86YK8-24xYfbb-Y871bz-2geVpfR-2dbrii8-2ndvmTd-2g34XHu-2hfWZuN-2iow3Wf-2iHxoJm-XS2szd-242Qygp-2guHSZH-Y86ZUx-Y871Gp-WRoQ51-2jBxGyt-Y86Qw4-24VsRkP-88pX3q-2auU1ua-Laf64B
example,Caspian Sea,78200,NA,NA,caspian_sea,cubic kilometers,caspianSea.png,eutrophication&hypoxia | wordpress.org,NA,https://wordpress.org/openverse/image/2a791db5-29cf-40a7-92ff-bf3d98a86834
